Method,Path,Domain,Controller,OperationId,Auth,UI Usage
POST,/api/auth/login,Authentication & Authorization,SecurityConfiguration,login,None,"auth.service.ts, oauth2.service.ts, admin.service.ts"
GET,/api/noauth/mobile,Mobile App,MobileAppController,getLoginMobileInfo,"hasAnyAuthority('SYS_ADMIN','TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/api/mobile,Mobile App,MobileAppController,getUserMobileInfo,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
POST,/api/mobile/app,Mobile App,MobileAppController,saveMobileApp,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","mobile-app.service.ts, mobile-application.service.ts"
GET,/api/mobile/app,Mobile App,MobileAppController,getTenantMobileApps,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",mobile-app.service.ts
GET,/api/mobile/app/{id},Mobile App,MobileAppController,getMobileAppById,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",mobile-app.service.ts
DELETE,/api/mobile/app/{id},Mobile App,MobileAppController,deleteMobileApp,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",mobile-app.service.ts
POST,/api/notification/target,Notifications,NotificationTargetController,saveNotificationTarget,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",notification.service.ts
GET,/api/notification/target/{id},Notifications,NotificationTargetController,getNotificationTargetById,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",notification.service.ts
POST,/api/notification/target/recipients,Notifications,NotificationTargetController,getRecipientsForNotificationTargetConfig,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",notification.service.ts
GET,/api/notification/targets,Notifications,NotificationTargetController,getNotificationTargetsByIdsV1,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
GET,/api/notification/targets/list,Notifications,NotificationTargetController,getNotificationTargetsByIds,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","entity.service.ts, notification.service.ts"
GET,/api/notification/targets,Notifications,NotificationTargetController,getNotificationTargets,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","entity.service.ts, notification.service.ts"
GET,/api/notification/targets,Notifications,NotificationTargetController,getNotificationTargetsBySupportedNotificationTypeV1,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
GET,/api/notification/targets/notificationType/{notificationType},Notifications,NotificationTargetController,getNotificationTargetsBySupportedNotificationType,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
DELETE,/api/notification/target/{id},Notifications,NotificationTargetController,deleteNotificationTargetById,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",notification.service.ts
GET,/api/resource/{resourceId}/download,Files / Uploads,TbResourceController,downloadResource,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')","device.service.ts, image.service.ts, resource.service.ts, ota-package.service.ts"
GET,/api/resource/{resourceType}/{scope}/{key},Files / Uploads,TbResourceController,downloadResourceIfChanged,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
GET,/api/resource/lwm2m/{resourceId}/download,Files / Uploads,TbResourceController,downloadLwm2mResourceIfChanged,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
GET,/api/resource/pkcs12/{resourceId}/download,Files / Uploads,TbResourceController,downloadPkcs12ResourceIfChanged,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
GET,/api/resource/jks/{resourceId}/download,Files / Uploads,TbResourceController,downloadJksResourceIfChanged,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/api/resource/js/{resourceId}/download,Files / Uploads,TbResourceController,downloadJsResourceIfChanged,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
GET,/api/resource/info/{resourceId},Files / Uploads,TbResourceController,getResourceInfoById,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
GET,/api/resource/{resourceType}/{scope}/{key}/info,Files / Uploads,TbResourceController,getResourceInfo,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
GET,/api/resource/{resourceId},Files / Uploads,TbResourceController,getResourceById,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","resource.service.ts, device-profile.service.ts"
POST,/api/resource,Files / Uploads,TbResourceController,saveResource,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
POST,/api/resource/upload,Files / Uploads,TbResourceController,uploadResource,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
PUT,/api/resource/{id}/data,Files / Uploads,TbResourceController,updateResourceData,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
PUT,/api/resource/{id}/info,Files / Uploads,TbResourceController,updateResourceInfo,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
GET,/api/resource,Files / Uploads,TbResourceController,getResources,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","entity.service.ts, resource.service.ts"
